iter	Passed	Remaining
0	133	132993
1	134	66891
2	134	44842
3	135	33817
4	136	27191
5	137	22808
6	138	19666
7	139	17297
8	140	15488
9	141	14017
10	142	12808
11	143	11801
12	144	10969
13	145	10240
14	146	9603
15	147	9042
16	147	8548
17	148	8104
18	149	7712
19	150	7358
20	150	7038
21	151	6742
22	152	6468
23	152	6219
24	153	5990
25	154	5779
26	155	5587
27	155	5406
28	156	5237
29	157	5090
30	158	4946
31	158	4806
32	159	4676
33	160	4550
34	160	4435
35	161	4325
36	162	4222
37	162	4123
38	163	4030
39	164	3942
40	164	3858
41	165	3777
42	166	3700
43	166	3626
44	167	3560
45	168	3491
46	168	3421
47	169	3359
48	170	3301
49	170	3245
50	171	3192
51	172	3136
52	172	3085
53	173	3037
54	174	2990
55	174	2944
56	175	2900
57	175	2857
58	176	2809
59	176	2771
60	177	2733
61	178	2694
62	178	2659
63	179	2623
64	180	2589
65	180	2558
66	181	2527
67	182	2496
68	182	2467
69	183	2438
70	184	2411
71	184	2383
72	185	2357
73	186	2328
74	186	2303
75	187	2277
76	187	2253
77	188	2229
78	189	2206
79	189	2184
80	190	2162
81	191	2140
82	191	2120
83	192	2099
84	193	2080
85	193	2060
86	194	2043
87	195	2023
88	195	2004
89	196	1986
90	197	1969
91	197	1952
92	198	1935
93	199	1919
94	199	1903
95	200	1888
96	201	1872
97	201	1857
98	202	1843
99	203	1828
100	203	1814
101	204	1800
102	205	1785
103	205	1772
104	206	1759
105	207	1746
106	207	1733
107	208	1722
108	209	1710
109	209	1698
110	210	1687
111	211	1675
112	211	1664
113	212	1652
114	213	1641
115	214	1630
116	214	1620
117	215	1609
118	216	1599
119	216	1589
120	217	1579
121	218	1569
122	218	1559
123	219	1549
124	220	1540
125	220	1530
126	221	1521
127	221	1512
128	222	1504
129	223	1496
130	224	1486
131	224	1478
132	225	1469
133	226	1461
134	226	1452
135	227	1443
136	227	1435
137	228	1427
138	229	1419
139	229	1411
140	230	1403
141	231	1395
142	231	1388
143	232	1380
144	232	1373
145	233	1365
146	234	1358
147	234	1351
148	235	1344
149	236	1339
150	237	1333
151	237	1327
152	238	1320
153	239	1313
154	239	1306
155	240	1300
156	240	1293
157	241	1287
158	242	1281
159	242	1274
160	243	1268
161	244	1262
162	244	1256
163	245	1250
164	245	1244
165	246	1238
166	247	1233
167	247	1227
168	248	1221
169	249	1216
170	249	1210
171	250	1204
172	250	1199
173	251	1193
174	252	1188
175	252	1183
176	253	1177
177	253	1172
178	254	1167
179	255	1162
180	255	1157
181	256	1152
182	257	1147
183	257	1142
184	258	1137
185	258	1133
186	259	1128
187	260	1123
188	260	1119
189	261	1115
190	262	1110
191	262	1105
192	263	1101
193	264	1097
194	264	1092
195	265	1088
196	265	1084
197	266	1079
198	267	1075
199	267	1071
200	268	1067
201	269	1063
202	269	1058
203	270	1054
204	270	1050
205	271	1046
206	272	1042
207	272	1038
208	273	1034
209	274	1031
210	274	1027
211	275	1023
212	275	1019
213	276	1015
214	277	1012
215	277	1008
216	278	1005
217	279	1001
218	279	997
219	280	994
220	281	990
221	281	987
222	282	983
223	282	980
224	283	976
225	284	973
226	284	969
227	285	966
228	286	963
229	286	959
230	287	956
231	288	953
232	288	950
233	289	947
234	290	944
235	290	941
236	291	938
237	292	935
238	292	932
239	293	929
240	294	926
241	294	923
242	295	920
243	296	917
244	296	914
245	297	911
246	297	908
247	298	905
248	299	902
249	299	899
250	300	896
251	301	893
252	301	891
253	302	888
254	303	885
255	303	883
256	304	880
257	305	878
258	306	875
259	306	873
260	307	870
261	308	867
